MSTI_VAR,COU,Year,Value
G_PPP,AUS,2000,7943.05084398993
G_PPP,AUS,2002,9885.29764027674
G_PPP,AUS,2004,11686.5768191624
G_PPP,AUS,2006,15510.8102691601
G_PPP,AUS,2008,19133.0011919887
G_PPP,AUS,2010,20572.0587463336
G_PPP,AUS,2011,20978.1038296501
G_PPP,AUS,2013,23129.6839436887
G_PPP,AUS,2015,21157.0766472118
G_PPP,AUS,2017,22376.1854904697
G_PPP,AUT,2000,4440.64767300498
G_PPP,AUT,2001,4760.76817262476
G_PPP,AUT,2002,5205.96491787962
G_PPP,AUT,2003,5670.98296805289
G_PPP,AUT,2004,5973.49488359143
G_PPP,AUT,2005,6836.98904994036
G_PPP,AUT,2006,7337.15830999956
G_PPP,AUT,2007,7901.00136627156
G_PPP,AUT,2008,8834.09620554849
G_PPP,AUT,2009,8871.60337469412
G_PPP,AUT,2010,9585.2441207773
G_PPP,AUT,2011,9955.00857454077
G_PPP,AUT,2012,11415.0640302717
G_PPP,AUT,2013,12007.9090031309
G_PPP,AUT,2014,12863.3113547364
G_PPP,AUT,2015,13143.4317996908
G_PPP,AUT,2016,14344.9252464762
G_PPP,AUT,2017,14567.2951109359
G_PPP,AUT,2018,15849.6730681006
G_PPP,AUT,2019,16621.6781948586
G_PPP,BEL,2000,5517.19710343464
G_PPP,BEL,2001,6022.32175347871
G_PPP,BEL,2002,5955.27176564058
G_PPP,BEL,2003,5903.47412073116
G_PPP,BEL,2004,6077.88155816729
G_PPP,BEL,2005,6225.19426471135
G_PPP,BEL,2006,6769.75537626438
G_PPP,BEL,2007,7223.44677339333
G_PPP,BEL,2008,7858.32740186796
G_PPP,BEL,2009,8151.53280165098
G_PPP,BEL,2010,8957.0496983915291
G_PPP,BEL,2011,9821.9620976553
G_PPP,BEL,2012,10714.9814399354
G_PPP,BEL,2013,11358.6444693558
G_PPP,BEL,2014,11935.8672730076
G_PPP,BEL,2015,12647.7756591749
G_PPP,BEL,2016,13895.6716206329
G_PPP,BEL,2017,15300.9994796981
G_PPP,BEL,2018,16088.7989861321
G_PPP,BEL,2019,18157.8407932372
G_PPP,CAN,2000,16745.3667541169
G_PPP,CAN,2001,18943.7876729243
G_PPP,CAN,2002,19145.3336455448
G_PPP,CAN,2003,20133.9249060083
G_PPP,CAN,2004,21634.046160869
G_PPP,CAN,2005,23089.9664275036
G_PPP,CAN,2006,24116.3895924142
G_PPP,CAN,2007,24764.4509196454
G_PPP,CAN,2008,24911.8991387708
G_PPP,CAN,2009,25078.8936345813
G_PPP,CAN,2010,24898.2398457482
G_PPP,CAN,2011,25570.5349289612
G_PPP,CAN,2012,26019.4621977709
G_PPP,CAN,2013,26504.0743786827
G_PPP,CAN,2014,27793.5422531976
G_PPP,CAN,2015,27004.6979120185
G_PPP,CAN,2016,29009.6781119471
G_PPP,CAN,2017,29474.4653662593
G_PPP,CAN,2018,29007.6893295101
G_PPP,CAN,2019,29293.108869122
G_PPP,CZE,2000,1848.86572780038
G_PPP,CZE,2001,1978.82607496794
G_PPP,CZE,2002,2043.95788155328
G_PPP,CZE,2003,2272.38486585253
G_PPP,CZE,2004,2429.89422256862
G_PPP,CZE,2005,2619.45161529014
G_PPP,CZE,2006,2997.69140593332
G_PPP,CZE,2007,3502.97821761462
